TAB         A small flap
RABBLE      A disorganized mob
RABID       Having rabies
TABOO       Prohibited
LABOR       To work
BABY        An infant
VACANT      Empty
LACERATE    To tear or mangle
MACHISMO    Exaggerated male pride
PACIFIST    One who rejects war
FACILE      Easy
TACIT       Expressed without words
PACK        A bundle
TACK        A small, sharp nail
BACKTRACK   To retrace one's steps
SACRED      Holy
PACT        An agreement
FACULTY     Ability
LACUNA      A pause or gap
VACUOUS     Lacking in content
CADET       A student at a military school
RADIATE     To shine brightly
RADICAL     Extreme
CADRE       A nucleus of trained personnel
SAFE        Secure from danger
SAG         To droop
SAGACIOUS   Wise
PAGAN       A heathen
SAGE        Wise
BAGGAGE     Suitcases
RAGGED      Having an uneven edge
HAGGLE      To barter
MAGISTERIUM Church teaching authority
MAGISTRATE  A government official
MAGNIFICENT Beautiful
MAGNITUDE   Size or extent
VAGUE       Not clear
FAILURE     Mistake
DAILY       Occurring every day
GAIN        An increase or advantage
SAINT       A holy person
MAINTAIN    To continue support for
LAIR        An animal's den
RAISE       To help stand up
WAIT        To delay
FAITH       Trust in someone or something
MAJORITY    The greater part
FAKE        Not real
BAKE        To cook in an oven
MAKE        To create
TAKE        To get into one's possession
MALAISE     Discomfort
PALATABLE   Appetizing
PALATE      The roof of the mouth
CALCULATE   To compute using arithmetic
PALE        Light in color
VALIANT     Courageous
VALIDATE    To give official sanction to
CALIPH      The head of a Moslem state
WALK        To go on foot
TALK        To speak
BALL        An object in the shape of a sphere
CALLOW      Immature
HALLOW      To make holy
RALLY       To come together for action
PALTRY      Very small, of little worth
CALUMNY     A false accusation
SALUTARY    Promoting health
SALVAGE     To save
SALVATION   Deliverance from sin
DAMAGE      Injury
FAMILIAR    Well known
TAMPER      To meddle
BAN         A prohibition
MANAGE      To direct skillfully
CANCEL      To delete, reject
SANCTION    To approve
SANCTITY    Holiness
MANDATE     An authoritative command
WANDER      To move about aimlessly
CANDIDATE   One who aspires to office
LANDING     The level part of a staircase
RANDOM      Having no definite pattern
CANDOR      Openness
LANE        A narrow road
WANE        To diminish in size
HANGAR      A shelter for an aircraft
TANGIBLE    Perceptible by touch
DANGLE      To hang loosely
LANGUID     Drooping, weak
SANGUINE    Confident
LANGUISH    To become weak or feeble
PANIC       Sudden fright
MANIFEST    Plainly apparent
CANINE      A dog
MANIPULATE  To control someone deviously
VANISH      To disappear from sight
YANK        To pull quickly
HANKER      To yearn
BANNER      A sign
CANOPY      A tent-like covering
XANTHIC     Having a yellowish color
WANTING     Missing
CANTOR      A song leader
MANUAL      A handbook
NAP         To sleep briefly
CAPABLE     Having ability
PAPAL       Referring to the pope
GAPE        To stare
RAPID       Quickly moving
CAPITAL     Punishable by death
VAPOR       Moisture in the air
HAPPEN      To occur
RAPPORT     Agreement
CAPTIVE     A prisoner
PARADOXICAL Contradictory
PARALYSIS   Loss of body motion
PARAPHRASE  To restate
PARASITE    An animal that lives on another
HARASS      To annoy or torment
GARB        Clothes
BARBARIAN   A savage
HARD        Difficult
CARDIOLOGY  The medical study of the heart
PARDON      To free from penalty
SARDONIC    Derisively mocking
TARDY       Not coming at the appointed time
RARELY      Seldom
BARGAIN     To negotiate
LARGESS     Liberal giving
TARGET      An object to shoot at
MARGIN      Border
JARGON      Unintelligible speech
VARIABLE    Changing
CARICATURE  An exaggeration
DARING      Brave or bold
DARK        Without light
BARN        A building used for hay and animals
YARN        Spun wool
WARN        To make aware of possible harm
GARNER      To gather or store
TARNISH     To dim the luster of
CAROL       A Christmas song
WARP        To twist out of shape
NARRATE     To tell or relate
NARROW      Of slender width
CARRY       To transport
MARSH       A swampy land
PARSIMONY   Stinginess
PARTIAL     Favoring one side
PARTISAN    A supporter of a cause
PARTITION   The act of separating
PARTNER     An associate
CARTOON     A humorous drawing
MARVEL      To wonder
VARY        To change
BASE        The bottom of an object
GASH        A long cut
CASH        Money
MASSIVE     Very large
FAST        Quickly
CAST        To throw
PASTURE     Grazing ground
HASTY       Quick
CASUAL      Without intention
EASY        Not difficult
BAT         A stick or club used in a game
CATALYST    A substance that speeds a reaction
CATCH       To capture
WATCH       To keep guard over
LATE        Not on time
CATECHISM   A manual of doctrine
OATH        A formal promise
GATHER      To bring together
CATHOLIC    Broad-minded, universal
FATIGUE     Tiredness
SATISFACTIONAtonement
PATRON      A supporter
TATTERED    Torn
PATTERN     A template
BATTLE      A military conflict
SATURATE    To fill completely
MATURE      Completely grown
LAUD        To praise highly
NAUGHT      Nothing
MAUL        To injure by beating
JAUNT       A wearisome journey
CAUSTIC     Burning
TAUT        Tight
LAVA        Molten rock
WAVER       To move one way and the other
SAVORY      Tasty
GAWK        To stare stupidly
TAX         Money levied by rulers
TAXONOMY    The science of classification
RAZE        To destroy to the ground
HAZY        Lacking clarity
ABASE       To lower in position
ABBEY       A monastic community
OBFUSCATE   To make obscure
OBJECTIVE   Free from prejudice
OBLIGE      To do a favor for
OBLITERATE  To wipe out
OBLIVIOUS   Unaware
ABOVE       In a higher place
ABSOLUTE    Free from restriction
OBSTINATE   Stubborn
OBSTRUCT    To stop movement
OBTUSE      Dull
EBULLIENT   Enthusiastic
OBVIOUS     Immediately evident
SCALD       To burn with a hot liquid
SCAMP       A rascal
SCANT       Meager
SCARE       To frighten
SCATHING    Extremely severe
ACCEPTABLE  Satisfactory
ACCESS      Ability to enter
ACCOMPANY   To go with
OCCUPY      To reside in
SCENT       Smell
SCHEME      A plan
ACHIEVE     To carry out successfully
ACKNOWLEDGE To admit the truth of
SCOFF       To speak with contempt
SCOLD       To noisily find fault with
SCORCH      To burn the surface of
ACORN       The nut from an oak tree
ACQUIT      To declare someone innocent
SCRAP       Discarded fragments
SCREAM      A yell
ACROSS      From one side to the other
ACT         To perform
ADAGE       A saying or proverb
ADAGIO      Slowly
ADAPT       To adjust
ADAPTATION  A modification
ADD         To calculate a sum
ODD         Unusual
ADDRESS     To speak
IDEAL       Perfect
IDEALIZE    To hold in high esteem
ADJECTIVE   A word used to modify a noun
ADMINISTER  To manage
ADMIRE      To have respect for
ADMIT       To conceed as true
ODOR        A smell
EDUCE       To call forth
ADVENT      A coming or arrival
ADVERB      A word used to modify a verb
ADVERSARY   An enemy
ADVERSITY   Suffering
ADVERTISE   To make something known
ADVICE      A recommendation
REACH       To extend
TEACH       To instruct
BEAD        A small, round stone
DEAD        Deprived of life
LEAD        To guide someone
READY       Prepared
MEAGER      Thin
WEAK        Lacking in strength
ZEAL        Enthusiastic devotion to a cause
MEAN        An average
LEAN        Thin
NEAR        Close to
FEAR        Dread
TEAR        To pull apart
FEASIBLE    Possible
REASONABLE  Fair
LEAST       Smallest in size
SEAT        A chair
BEAT        To strike
BEAUTIFUL   Full of grace, pleasing
HEAVE       To throw
REBATE      To allow as a deduction
REBELLION   An uprising
REBUFF      A refusal
DEBUG       To remove errors from
REBUKE      To reprimand
REBUT       To prove wrong
RECENT      Not long ago
RECLAIM     To recover
RECOGNIZE   To perceive as known
