on x=-40..8,y=-12..40,z=-44..6
on x=-34..16,y=-49..5,z=-25..23
on x=-47..3,y=-35..15,z=-38..7
on x=-7..47,y=-48..2,z=-46..-2
on x=-31..13,y=-23..23,z=-32..21
on x=-20..28,y=-9..35,z=-41..11
on x=-38..15,y=-43..4,z=-22..31
on x=-38..10,y=-21..33,z=-16..33
on x=-7..37,y=-25..26,z=-49..0
on x=-16..33,y=-27..22,z=-8..46
off x=-29..-12,y=-13..5,z=-17..-3
on x=-46..5,y=-9..36,z=-48..-4
off x=-27..-11,y=2..11,z=36..49
on x=-3..49,y=-26..28,z=-28..19
off x=31..46,y=-4..10,z=12..30
on x=-38..15,y=-32..17,z=-4..40
off x=10..28,y=15..33,z=-49..-33
on x=-12..34,y=-45..3,z=-45..1
off x=11..20,y=-46..-34,z=36..49
on x=-48..3,y=2..49,z=-18..36
on x=-82126..-63903,y=-987..11722,z=23713..37261
on x=-52674..-46028,y=-28803..-3726,z=46373..65281
on x=-4023..12521,y=55668..80403,z=-47562..-16128
on x=27547..40728,y=-10447..7679,z=-85083..-55603
on x=63008..73305,y=-3151..25421,z=-45722..-36390
on x=-18749..-8100,y=-86220..-75586,z=4366..16042
on x=34922..59009,y=-77234..-43867,z=7436..30526
on x=60331..82012,y=10984..15118,z=-10870..16990
on x=-82285..-56033,y=-55289..-26519,z=12381..30430
on x=-60502..-50906,y=17726..40990,z=-61035..-38258
on x=-92344..-58400,y=11076..29838,z=-18684..-2158
on x=10148..45315,y=-91252..-62235,z=-218..25502
on x=7153..44021,y=33934..63232,z=-61569..-39694
on x=-3399..11227,y=48234..68815,z=-70632..-36040
on x=-62666..-33936,y=-64234..-54860,z=-5408..29606
on x=40480..60160,y=-78515..-57003,z=-344..12313
on x=-63690..-56170,y=46464..59283,z=-7382..4883
on x=9819..30304,y=61528..75680,z=-30003..-9121
on x=-82643..-47958,y=-26062..-2872,z=38557..59718
on x=44647..57006,y=-60018..-44493,z=11164..32261
on x=10955..26271,y=-84392..-56402,z=-36492..-11432
on x=4685..28894,y=-81754..-61443,z=37004..46700
on x=27842..53564,y=-45446..-22447,z=-78705..-47864
on x=-56284..-42184,y=41394..65455,z=12416..29573
on x=-38262..-23566,y=42363..57973,z=-61902..-51278
on x=-69188..-43584,y=-73023..-41698,z=22924..39043
on x=-71132..-47899,y=-27786..-1413,z=-51676..-38296
on x=-30362..-17068,y=60015..83078,z=7896..37439
on x=-35264..-27516,y=-11483..6854,z=62361..79012
on x=-22516..-12957,y=-26300..533,z=-90423..-66411
on x=30283..63697,y=-43849..-31735,z=30937..64725
on x=12630..33846,y=10142..35422,z=71569..90515
on x=-26526..-4341,y=-67672..-49954,z=-57322..-30420
on x=-7330..2315,y=-41538..-15974,z=-90601..-53976
on x=-77073..-55946,y=-18703..2516,z=28253..29893
on x=49353..68933,y=-29634..-4395,z=-65897..-40612
on x=34861..51274,y=-75910..-60429,z=-21753..-8660
on x=73173..87411,y=-8889..9211,z=-34548..2328
on x=55751..75560,y=21008..35517,z=17475..38580
on x=19669..38919,y=68271..82612,z=-17492..-1836
on x=-12433..17667,y=-64676..-43914,z=-65630..-44781
on x=-75451..-41898,y=-57880..-38361,z=-40656..-24154
on x=50406..69609,y=13291..37568,z=-62440..-33720
