Student Number,Grade,What is your FIRST choice?,What is your SECOND choice? (can't be the same as a previous choice),What is your THIRD choice? (can't be the same as a previous choice),What is your FOURTH choice? (can't be the same as a previous choice),Session 1 Activity,Session 2 Activity
1,K,Arts and Crafts - Make a Winter Craft,Make your own puppet,Science project - making oobleck,Pottery/Clay,,
2,,Arts and Crafts - Make a Winter Craft,Make Comic Books,Strawbees robots (grades 2-5),Make Snowflakes,,
3,1,Arts and Crafts - Make a Winter Craft,Make your own puppet,Make Snowflakes,Puzzles,,
4,1,Arts and Crafts - Make a Winter Craft,Make your own puppet,Make Snowflakes,Card Making,,
5,1,Arts and Crafts - Make a Winter Craft,Sciencenter,Make Snowflakes,Card Making,,
6,1,Arts and Crafts - Make a Winter Craft,Make your own puppet,Card Making,Sciencenter,,
7,1,Arts and Crafts - Make a Winter Craft,Sciencenter,Hip-hop dance,Make Snowflakes,,
8,4,Card Making,Sciencenter,Pottery/Clay,Puzzles,,
9,3,Card Making,Makerspace,Sewing,Cooking,,
10,K,Cooking,Legos,Arts and Crafts - Make a Winter Craft,Make your own puppet,,
11,K,Cooking,Disc Golf,Gymnastics Party,Legos,,
12,5,Cooking,Gymnastics Party,Make your own puppet,Science project - making oobleck,,
13,5,Cooking,Pottery/Clay,Sewing,Feminist Group,,
14,5,Cooking,Magic the Gathering (card game),Pottery/Clay,Science - Amazing Reactions,,
15,5,Cooking,Science project - making oobleck,Pottery/Clay,Science - Amazing Reactions,,
16,5,Cooking,Science project - making oobleck,Legos,Science - Amazing Reactions,,
17,5,Cooking,Sewing,Gymnastics Party,Pottery/Clay,,
18,5,Cooking,Pottery/Clay,Science project - making oobleck,Gymnastics Party,,
19,5,Cooking,Make Snowflakes,Science - Amazing Reactions,Arts and Crafts - Make a Winter Craft,,
20,5,Cooking,Science - Amazing Reactions,Make your own puppet,Zen Group - relax and color,,
21,5,Cooking,Zen Group - relax and color,Sewing,Hip-hop dance,,
22,5,Cooking,Magic the Gathering (card game),Make Comic Books,Science - Amazing Reactions,,
23,4,Cooking,Piano Talent Share,Make Comic Books,Arts and Crafts - Make a Winter Craft,,
24,4,Cooking,Science project - making oobleck,Pottery/Clay,Makerspace,,
25,4,Cooking,Pottery/Clay,Arts and Crafts - Make a Winter Craft,Science - Amazing Reactions,,
26,4,Cooking,Gymnastics Party,Zen Group - relax and color,Makerspace,,
27,4,Cooking,Pottery/Clay,Science project - making oobleck,Sciencenter,,
28,4,Cooking,Science project - making oobleck,Make your own puppet,Planets!,,
29,4,Cooking,Pottery/Clay,Science project - making oobleck,Sciencenter,,
30,4,Cooking,Pottery/Clay,Science project - making oobleck,Sciencenter,,
31,3,Cooking,Science project - making oobleck,Arts and Crafts - Make a Winter Craft,Pottery/Clay,,
32,3,Cooking,Dinosaurs,Science - Amazing Reactions,Science project - making oobleck,,
33,3,Cooking,Science project - making oobleck,Hip-hop dance,Legos,,
34,3,Cooking,Pottery/Clay,Hip-hop dance,Strawbees robots (grades 2-5),,
35,3,Cooking,Science project - making oobleck,Gymnastics Party,Hip-hop dance,,
36,3,Cooking,Science project - making oobleck,Gymnastics Party,Hip-hop dance,,
37,3,Cooking,Gymnastics Party,Pottery/Clay,Makerspace,,
38,3,Cooking,Gymnastics Party,Pottery/Clay,Makerspace,,
39,3,Cooking,Gymnastics Party,Pottery/Clay,Makerspace,,
40,3,Cooking,Gymnastics Party,Arts and Crafts - Make a Winter Craft,Science project - making oobleck,,
41,2,Cooking,Makerspace,Disc Golf,Legos,,
42,2,Cooking,Legos,Make Comic Books,Planets!,,
43,2,Cooking,Strawbees robots (grades 2-5),Cooking,Make your own puppet,,
44,2,Cooking,Make your own puppet,Planets!,Sciencenter,,
45,2,Cooking,Arts and Crafts - Make a Winter Craft,Make your own puppet,Sciencenter,,
46,2,Cooking,Planets!,Science - Amazing Reactions,Zen Group - relax and color,,
47,2,Cooking,Makerspace,Gymnastics Party,Zen Group - relax and color,,
48,2,Cooking,Planets!,Science - Amazing Reactions,Zen Group - relax and color,,
49,2,Cooking,Makerspace,Gymnastics Party,Zen Group - relax and color,,
50,4,Creative writing,Pottery/Clay,Science - Amazing Reactions,Cooking,,
51,1,Dinosaurs,Sciencenter,Make Snowflakes,Zen Group - relax and color,,
52,1,Dinosaurs,Card Making,Make Snowflakes,Puzzles,,
53,Pre-k,Dinosaurs,,,,,
54,4,Disc Golf,Science - Amazing Reactions,Magic the Gathering (card game),Science project - making oobleck,,
55,4,Disc Golf,Science - Amazing Reactions,Magic the Gathering (card game),Science project - making oobleck,,
56,4,Disc Golf,Science - Amazing Reactions,Magic the Gathering (card game),Science project - making oobleck,,
57,4,Disc Golf,Makerspace,Puzzles,Legos,,
58,3,Engineering toys (grades 2-5),Cooking,Sewing,Makerspace,,
59,5,Engineering toys (grades 2-5),Gymnastics Party,Cooking,Pottery/Clay,,
60,5,Engineering toys (grades 2-5),Sewing,Strawbees robots (grades 2-5),Cooking,,
61,5,Engineering toys (grades 2-5),Gymnastics Party,Strawbees robots (grades 2-5),Pottery/Clay,,
62,5,Engineering toys (grades 2-5),Sewing,Gymnastics Party,Pottery/Clay,,
63,5,Engineering toys (grades 2-5),Magic the Gathering (card game),Sciencenter,Science - Amazing Reactions,,
64,5,Engineering toys (grades 2-5),Make Snowflakes,Science project - making oobleck,Disc Golf,,
65,5,Engineering toys (grades 2-5),Legos,Dinosaurs,Pottery/Clay,,
66,5,Engineering toys (grades 2-5),Legos,Strawbees robots (grades 2-5),Pottery/Clay,,
67,5,Engineering toys (grades 2-5),Sewing,Make your own puppet,Gymnastics Party,,
68,5,Engineering toys (grades 2-5),Gymnastics Party,Cooking,Cooking,,
69,5,Engineering toys (grades 2-5),Gymnastics Party,Planets!,Zen Group - relax and color,,
