student,session 1,session 2
1,Arts and Crafts - Make a Winter Craft,Make your own puppet
2,Arts and Crafts - Make a Winter Craft,Make Comic Books
3,Arts and Crafts - Make a Winter Craft,Make your own puppet
4,Arts and Crafts - Make a Winter Craft,Make your own puppet
5,Arts and Crafts - Make a Winter Craft,Sciencenter
6,Arts and Crafts - Make a Winter Craft,Make your own puppet
7,Arts and Crafts - Make a Winter Craft,Sciencenter
8,Sciencenter,Pottery/Clay
9,Makerspace,Sewing
10,Cooking,Legos
11,Cooking,Disc Golf
12,Cooking,Gymnastics Party
13,Cooking,Pottery/Clay
14,Cooking,Magic the Gathering (card game)
15,Cooking,Science project - making oobleck
16,Cooking,Science project - making oobleck
17,Cooking,Sewing
18,Cooking,Pottery/Clay
19,Cooking,Make Snowflakes
20,Cooking,Science - Amazing Reactions
21,Cooking,Zen Group - relax and color
22,Cooking,Magic the Gathering (card game)
23,Cooking,Piano Talent Share
24,Cooking,Science project - making oobleck
25,Cooking,Pottery/Clay
26,Cooking,Gymnastics Party
27,Cooking,Pottery/Clay
28,Cooking,Science project - making oobleck
29,Cooking,Pottery/Clay
30,Pottery/Clay,Cooking
31,Arts and Crafts - Make a Winter Craft,Cooking
32,Science - Amazing Reactions,Cooking
33,Legos,Cooking
34,Strawbees robots (grades 2-5),Cooking
35,Science project - making oobleck,Cooking
36,Science project - making oobleck,Cooking
37,Makerspace,Cooking
38,Makerspace,Cooking
39,Makerspace,Cooking
40,Arts and Crafts - Make a Winter Craft,Cooking
41,Disc Golf,Cooking
42,Legos,Cooking
43,Strawbees robots (grades 2-5),Cooking
44,Make your own puppet,Cooking
45,Arts and Crafts - Make a Winter Craft,Cooking
46,Zen Group - relax and color,Cooking
47,Zen Group - relax and color,Cooking
48,Science - Amazing Reactions,Zen Group - relax and color
49,Zen Group - relax and color,Makerspace
50,Creative writing,Pottery/Clay
51,Sciencenter,Make Snowflakes
52,Make Snowflakes,Puzzles
53,,
54,Disc Golf,Science - Amazing Reactions
55,Disc Golf,Science - Amazing Reactions
56,Disc Golf,Science - Amazing Reactions
57,Disc Golf,Makerspace
58,Engineering toys (grades 2-5),Sewing
59,Engineering toys (grades 2-5),Gymnastics Party
60,Engineering toys (grades 2-5),Sewing
61,Engineering toys (grades 2-5),Gymnastics Party
62,Engineering toys (grades 2-5),Sewing
63,Engineering toys (grades 2-5),Magic the Gathering (card game)
64,Engineering toys (grades 2-5),Make Snowflakes
65,Engineering toys (grades 2-5),Legos
66,Engineering toys (grades 2-5),Legos
67,Engineering toys (grades 2-5),Sewing
68,Engineering toys (grades 2-5),Gymnastics Party
69,Engineering toys (grades 2-5),Gymnastics Party
70,Engineering toys (grades 2-5),Science project - making oobleck
71,Engineering toys (grades 2-5),Gymnastics Party
72,Engineering toys (grades 2-5),Make your own puppet
73,Engineering toys (grades 2-5),Strawbees robots (grades 2-5)
74,Engineering toys (grades 2-5),Legos
75,Engineering toys (grades 2-5),Disc Golf
76,Engineering toys (grades 2-5),Piano Talent Share
77,Engineering toys (grades 2-5),Science - Amazing Reactions
78,Piano Talent Share,Engineering toys (grades 2-5)
79,Magic the Gathering (card game),Engineering toys (grades 2-5)
80,Zen Group - relax and color,Engineering toys (grades 2-5)
81,Legos,Engineering toys (grades 2-5)
82,Piano Talent Share,Engineering toys (grades 2-5)
83,Arts and Crafts - Make a Winter Craft,Engineering toys (grades 2-5)
84,Piano Talent Share,Engineering toys (grades 2-5)
85,Piano Talent Share,Engineering toys (grades 2-5)
86,Piano Talent Share,Engineering toys (grades 2-5)
87,Make Comic Books,Engineering toys (grades 2-5)
88,Sewing,Feminist Group
89,Sewing,Feminist Group
90,Creative writing,Feminist Group
91,Sciencenter,Feminist Group
92,Gymnastics Party,Make your own puppet
93,Gymnastics Party,Science - Amazing Reactions
94,Gymnastics Party,Hip-hop dance
95,Gymnastics Party,Hip-hop dance
96,Gymnastics Party,Pottery/Clay
97,Gymnastics Party,Hip-hop dance
98,Gymnastics Party,Sewing
99,Gymnastics Party,Feminist Group
100,Gymnastics Party,Hip-hop dance
101,Gymnastics Party,Sewing
102,Gymnastics Party,Pottery/Clay
103,Gymnastics Party,Hip-hop dance
104,Gymnastics Party,Puzzles
105,Gymnastics Party,Engineering toys (grades 2-5)
106,Gymnastics Party,Sewing
107,Gymnastics Party,Sciencenter
108,Gymnastics Party,Sciencenter
109,Gymnastics Party,Sciencenter
110,Gymnastics Party,Zen Group - relax and color
111,Gymnastics Party,Pottery/Clay
112,Gymnastics Party,Pottery/Clay
113,Gymnastics Party,Puzzles
114,Gymnastics Party,Science project - making oobleck
115,Gymnastics Party,Science project - making oobleck
116,Gymnastics Party,Hip-hop dance
117,Gymnastics Party,Feminist Group
118,Gymnastics Party,Sewing
119,Gymnastics Party,Planets!
120,Gymnastics Party,Strawbees robots (grades 2-5)
121,Gymnastics Party,Hip-hop dance
122,Gymnastics Party,Science project - making oobleck
123,Gymnastics Party,Science - Amazing Reactions
124,Gymnastics Party,Zen Group - relax and color
125,Gymnastics Party,Science project - making oobleck
126,Gymnastics Party,Puzzles
127,Gymnastics Party,Hip-hop dance
128,Puzzles,Hip-hop dance
129,Gymnastics Party,Sciencenter
130,Gymnastics Party,Sciencenter
