College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
   1  Duke                 $  =  95.09   30   3   81.04(   2)    3   1  |    8   3  |   95.00    2 |   94.83    1
   2  Connecticut          $  =  93.95   27   3   77.78(  45)    1   1  |   11   2  |   95.38    1 |   92.63    3
   3  Villanova            $  =  93.18   25   4   80.64(   4)    1   2  |    5   4  |   93.65    3 |   92.44    4
   4  Texas                $  =  91.40   27   6   77.60(  52)    3   2  |    5   3  |   89.73    8 |   93.74    2
   5  Memphis              $  =  90.96   30   3   75.28(  95)    0   2  |    4   2  |   91.79    4 |   89.95    7
   6  North Carolina       $  =  89.60   22   7   79.62(  10)    1   2  |    4   4  |   88.04   13 |   91.54    5
   7  Illinois             $  =  89.48   25   6   77.36(  61)    1   1  |    6   4  |   89.96    7 |   88.72    9
   8  Florida              $  =  89.45   27   6   75.93(  86)    0   0  |    5   3  |   88.82   10 |   89.80    8
   9  Ohio State           $  =  89.38   25   5   77.90(  40)    1   0  |    4   4  |   90.29    6 |   88.31   10
  10  Kansas               $  =  88.13   24   7   77.49(  58)    1   1  |    1   3  |   86.26   22 |   90.67    6
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  11  Pittsburgh           $  =  88.06   24   7   78.51(  32)    1   1  |    5   4  |   88.70   11 |   87.16   14
  12  LSU                  $  =  87.84   22   8   79.27(  17)    0   4  |    4   5  |   87.40   16 |   87.95   11
  13  Tennessee            $  =  87.12   21   7   78.99(  21)    3   1  |    3   3  |   87.47   15 |   86.47   17
  14  Iowa                 $  =  87.11   25   8   78.94(  23)    3   2  |    8   3  |   88.54   12 |   85.67   20
  15  UCLA                 $  =  87.04   27   6   77.27(  63)    0   1  |    1   4  |   86.53   19 |   87.24   13
  16  Boston College       $  =  86.86   25   7   77.72(  48)    2   2  |    4   4  |   87.67   14 |   85.84   19
  17  Georgetown           $  =  86.58   21   9   78.61(  31)    1   3  |    4   6  |   86.59   17 |   86.23   18
  18  Gonzaga              $  =  86.05   27   3   75.49(  92)    0   2  |    1   3  |   90.60    5 |   83.29   39
  19  Arkansas             $  =  86.04   22   9   77.08(  70)    2   2  |    4   4  |   85.09   27 |   86.80   15
  20  Washington           $  =  85.83   24   6   74.82( 104)    0   0  |    3   0  |   84.27   33 |   87.52   12
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  21  George Washington    $  =  85.80   26   2   71.18( 206)    0   0  |    0   1  |   89.64    9 |   83.23   40
  22  West Virginia        $  =  85.71   19  10   79.78(   8)    1   2  |    6   7  |   86.47   20 |   84.71   24
  23  NC State             $  =  85.58   21   9   77.10(  67)    0   3  |    3   5  |   85.28   25 |   85.54   21
  24  Indiana              $  =  85.21   18  11   79.95(   7)    2   4  |    3   7  |   85.46   24 |   84.64   25
  25  Missouri State          =  85.21   20   8   77.70(  49)    0   0  |    0   1  |   83.81   39 |   86.60   16
  26  Michigan State       $  =  84.77   21  11   79.59(  12)    2   3  |    5   7  |   86.36   21 |   83.19   41
  27  Syracuse             $  =  84.70   23  11   79.53(  14)    1   5  |    6   8  |   86.56   18 |   82.95   46
  28  Nevada               $  =  84.68   26   5   74.11( 123)    1   0  |    1   1  |   85.26   26 |   83.82   32
  29  Florida State           =  84.66   19   9   76.41(  77)    1   3  |    1   5  |   83.75   40 |   85.35   22
  30  Cincinnati              =  84.58   18  12   80.23(   5)    0   3  |    3   8  |   84.37   32 |   84.45   26
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  31  Marquette            $  =  84.46   19  10   79.33(  16)    1   1  |    3   5  |   84.82   28 |   83.79   33
  32  Northern Iowa        $  =  84.31   21   9   77.83(  42)    0   0  |    4   1  |   84.15   35 |   84.12   30
  33  Kentucky             $  =  84.26   21  12   79.40(  15)    0   4  |    3   8  |   84.10   36 |   84.08   31
  34  Wichita State        $  =  84.21   23   8   76.81(  73)    0   1  |    2   2  |   84.66   29 |   83.45   37
  35  Wisconsin            $  =  84.19   19  11   79.26(  18)    1   2  |    4   6  |   84.39   31 |   83.66   35
