year	population
-10000	4
-8000	5
-7000	5
-6000	5
-5000	5
-4000	7
-3000	14
-2000	27
-1000	50
-750	60
-500	100
-400	160
-200	150
0	170
200	190
400	190
500	190
600	200
700	210
800	220
900	226
1000	310
1100	301
1200	360
1250	400
1300	360
1340	443
1400	350
1500	425
1600	545
1650	470
1700	600
1750	790
1800	980
1815	1000
1850	1260
1900	1650
1910	1750
1920	1860
1927	2000
1930	2070
1940	2300
1950	2400
1960	3020
1970	3700
1974	5000
1980	5000
1987	5000
1990	5000
1999	6000
2000	6070
2005	6500
2007	6576
2008	6900


--- denominated in billions ---
0	.170
200	.190
400	.190
500	.190
600	.200
700	.210
800	.220
900	.226
1000	.310
1100	.301
1200	.360
1250	.400
1300	.360
1340	.443
1400	.350
1500	.425
1600	.545
1650	.470
1700	.600
1750	.791	
1800	.978	
1850	1.262
1900	1.650
1950	2.519
1955	2.756
1960	2.982
1965	3.335
1970	3.692
1975	4.068
1980	4.435
1985	4.831
1990	5.263
1995	5.674
2000	6.070
2005	6.454
2008	6.707

--- japanese data ---
1950	10.9	28.1
1951	9.9	25.3
1952	8.9	23.4
1953	8.9	21.5
1954	8.2	20.0
1955	7.8	19.4
1956	8.0	18.4
1957	8.3	17.2
1958	7.4	18.0
1959	7.4	17.5
1960	7.6	17.2
1961	7.4	16.9
1962	7.5	17.0
1963	7.0	17.3
1964	6.9	17.7
1965	7.1	18.6
1966	6.8	13.7
1967	6.8	19.4
1968	6.8	18.6
1969	6.8	18.5
1970	6.9	18.8
1971	6.6	19.2
1972	6.5	19.3
1973	6.6	19.4
1974	6.5	18.6
1975	6.3	17.1
1976	6.3	16.3
1977	6.1	15.5
1978	6.1	14.9
1979	6.0	14.2
1980	6.2	13.6
1981	6.1	13.0
1982	6.0	12.8
1983	6.2	12.7
1984	6.2	12.5
1985	6.3	11.9
1986	6.2	11.4
1987	6.2	11.1
1988	6.5	10.8
1989	6.4	10.2
1990	6.7	10.0
1991	6.7	9.9
1992	6.9	9.8
1993	7.1	9.6
1994	7.1	10.0
1995	7.4	9.6
1996	7.2	9.7
1997	7.3	9.5
1998	7.5	9.6
1999	7.8	9.4
2000	7.7	9.5
2001	7.7	9.3
2002	7.8	9.2
2003	8.0	8.9
2004	8.2	8.8
2005	8.4	8.6
2006	8.7	8.6
2007	8.6	8.8
2008	8.7	9.1
